,fname,lname,tags,associations,subplots
313,Robert,Wolf,{'class': 'g-list-item Trump Russiacontacts'},Attorney,Russia contacts
314,Andrew,Wood,{'class': 'g-list-item ForeignNational TheSteeledossier Congress'},"British, Campaign",The Steele dossier
315,James,Woolsey,{'class': 'g-list-item Trump Flynnplea MuellerInterest'},Campaign,Flynn plea
316,Shanlon,Wu,{'class': 'g-list-item Trump Manafortindictment Russiacontacts'},Attorney,"Manafort indictment, Russia contacts"
317,Viktor,Yanukovych,{'class': 'g-list-item ForeignNational TheSteeledossier Manafortindictment MuellerInterest Congress'},Ukrainian,"The Steele dossier, Manafort indictment"
318,Sally,Yates,{'class': 'g-list-item Other Flynnplea MuellerInterest Congress'},Justice Department,Flynn plea
319,Sergei,Yatsenko,{'class': 'g-list-item ForeignNational Russiacontacts Congress'},"Russian, Campaign",Russia contacts
320,Johnny,Yenason,{'class': 'g-list-item Trump Fakenews Stolenemails Russiacontacts MuellerInterest Congress'},Campaign,"Fake news, Stolen emails, Russia contacts"
321,Jeffrey,Yohai,{'class': 'g-list-item Trump Manafortindictment MuellerInterest'},Campaign,Manafort indictment
322,Eric,York,{'class': 'g-list-item Trump Stolenemails MuellerInterest Congress'},Campaign,Stolen emails
323,Aaron,Zebley,{'class': 'g-list-item Mueller Stolenemails Russiacontacts Fakenews Flynnplea Manafortindictment RNCplatformchange TheSteeledossier'},Prosecutor,"Stolen emails, Russia contacts, Fake news, Flynn plea, Manafort indictment, RNC platform change, The Steele dossier"
324,Thomas,Zehnle,{'class': 'g-list-item Trump Russiacontacts TheSteeledossier Manafortindictment Fakenews Stolenemails RNCplatformchange'},Attorney,"Russia contacts, The Steele dossier, Manafort indictment, Fake news, Stolen emails, RNC platform change"
325,Aaron,Zelinsky,{'class': 'g-list-item Mueller Russiacontacts'},Prosecutor,Russia contacts
326,Mark,Zuckerberg,{'class': 'g-list-item Other Fakenews MuellerInterest Congress'},Tech executive,Fake news
327,Andrew,Miller ,{'class': 'g-list-item Trump Stolenemails Fakenews Russiacontacts MuellerInterest'},Campign,"Stolen emails, Fake news, Russia contacts"
328,Jason,Sullivan,{'class': 'g-list-item Trump Stolenemails Fakenews Russiacontacts MuellerInterest'},Campaign,"Stolen emails, Fake news, Russia contacts"
329,Emmet,Flood ,{'class': 'g-list-item Trump Comeyfiring Flynnplea Manafortindictment Stolenemails Russiacontacts'},Attorney,"Comey firing, Flynn plea, Manafort indictment, Stolen emails, Russia contacts"
330,T.S.,Ellis III,{'class': 'g-list-item Other Manafortindictment'},Judge,Manafort indictment
331,Tony,Fabrizio,{'class': 'g-list-item Trump Manafortindictment MuellerInterest'},Campaign,Manafort indictment
